Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
31888,-1.56,0.00,14.70,13.84,187,0.88,2710,0.00,35.50,8.09,120,1.50,12.33,-2.32,40.23,2.54,0.00,22.75,76.99
32206,-1.56,0.78,14.59,13.84,187,0.88,2734,0.00,35.50,8.06,118,1.50,12.33,-2.32,39.95,2.54,0.00,22.75,77.51
32525,-1.56,0.00,14.59,13.84,187,0.89,2712,0.00,35.50,8.20,118,1.50,12.33,-2.32,39.95,2.56,0.00,22.75,77.72
32844,-1.56,0.00,14.59,13.84,187,0.89,2767,0.00,35.50,8.18,118,1.50,12.33,-2.47,40.51,2.56,0.00,22.75,76.10
33163,-1.56,0.00,14.59,13.76,187,0.88,2776,0.00,35.50,8.20,118,1.50,12.33,-2.47,40.50,2.54,0.00,22.75,76.84
33481,-1.56,0.00,14.59,13.68,187,0.87,2769,0.00,35.50,8.35,118,1.50,12.33,-2.47,41.06,2.56,0.00,22.75,77.62
33800,-2.34,0.00,14.47,13.76,187,0.88,2788,0.00,36.00,8.41,118,1.50,12.19,-2.47,40.50,2.56,0.00,22.75,75.71
34119,-3.12,0.00,14.47,13.84,187,0.88,2804,0.00,36.00,7.84,118,1.50,12.19,-2.47,40.92,2.56,0.00,22.75,77.17
34438,-3.12,0.00,14.47,13.68,187,0.87,2824,0.00,36.50,8.52,118,1.50,12.19,-2.61,41.06,2.56,0.00,22.75,76.12
34756,-3.91,0.00,14.47,13.76,187,0.87,2840,0.00,36.50,7.95,118,1.50,12.19,-2.61,40.36,2.58,0.00,22.75,76.82
35076,-3.91,0.00,14.47,13.76,187,0.86,2880,0.00,36.50,8.60,118,1.50,12.19,-2.47,41.76,2.58,0.00,22.75,76.84
35394,-4.69,0.00,14.59,13.68,187,0.86,2896,0.00,37.00,8.57,118,1.50,12.19,-2.47,41.34,2.56,0.00,22.75,75.77
35713,-5.47,0.00,14.59,13.68,187,0.88,2888,0.00,37.00,8.08,118,1.50,12.19,-2.47,42.17,2.58,0.00,23.14,76.94
